
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v4.0.1)

2026-01-26T01:20:30.451+05:30  INFO 87748 --- [digital-memory-engine] [           main] c.m.c.e.DigitalMemoryEngineApplication   : Starting DigitalMemoryEngineApplication using Java 22.0.2 with PID 87748 (/Users/vinayakg08/Documents/digital-memory-engine/target/classes started by vinayakg08 in /Users/vinayakg08/Documents/digital-memory-engine)
2026-01-26T01:20:30.453+05:30 DEBUG 87748 --- [digital-memory-engine] [           main] c.m.c.e.DigitalMemoryEngineApplication   : Running with Spring Boot v4.0.1, Spring v7.0.2
2026-01-26T01:20:30.454+05:30  INFO 87748 --- [digital-memory-engine] [           main] c.m.c.e.DigitalMemoryEngineApplication   : No active profile set, falling back to 1 default profile: "default"
2026-01-26T01:20:31.169+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-26T01:20:31.170+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-26T01:20:31.306+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 120 ms. Found 5 JPA repository interfaces.
2026-01-26T01:20:31.339+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-26T01:20:31.340+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-26T01:20:31.355+05:30  INFO 87748 --- [digital-memory-engine] [           main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.memory.context.engine.domain.audit.repository.AuditRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-01-26T01:20:31.355+05:30  INFO 87748 --- [digital-memory-engine] [           main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.memory.context.engine.domain.memory.repository.MemoryOutcomeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-01-26T01:20:31.355+05:30  INFO 87748 --- [digital-memory-engine] [           main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.memory.context.engine.domain.memory.repository.MemoryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-01-26T01:20:31.355+05:30  INFO 87748 --- [digital-memory-engine] [           main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.memory.context.engine.domain.relationship.repository.MemoryRelationshipRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-01-26T01:20:31.356+05:30  INFO 87748 --- [digital-memory-engine] [           main] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.memory.context.engine.domain.topic.repository.TopicRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-01-26T01:20:31.356+05:30  INFO 87748 --- [digital-memory-engine] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2026-01-26T01:20:31.926+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8082 (http)
2026-01-26T01:20:31.937+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-01-26T01:20:31.937+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.15]
2026-01-26T01:20:31.991+05:30  INFO 87748 --- [digital-memory-engine] [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 1489 ms
2026-01-26T01:20:32.123+05:30  WARN 87748 --- [digital-memory-engine] [           main] i.n.r.d.DnsServerAddressStreamProviders  : Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2026-01-26T01:20:32.565+05:30 DEBUG 87748 --- [digital-memory-engine] [           main] c.m.c.e.i.ratelimit.RateLimitingFilter   : Filter 'rateLimitingFilter' configured for use
2026-01-26T01:20:32.819+05:30  INFO 87748 --- [digital-memory-engine] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2026-01-26T01:20:33.435+05:30  INFO 87748 --- [digital-memory-engine] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@63551c66
2026-01-26T01:20:33.436+05:30  INFO 87748 --- [digital-memory-engine] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2026-01-26T01:20:33.493+05:30  INFO 87748 --- [digital-memory-engine] [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://aws-1-ap-south-1.pooler.supabase.com:5432/postgres?sslmode=require (PostgreSQL 17.6)
2026-01-26T01:20:34.242+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "public": 6
2026-01-26T01:20:34.279+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.f.core.internal.command.DbMigrate      : Schema "public" is up to date. No migration necessary.
2026-01-26T01:20:34.557+05:30  INFO 87748 --- [digital-memory-engine] [           main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
2026-01-26T01:20:34.607+05:30  INFO 87748 --- [digital-memory-engine] [           main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.0.Final
2026-01-26T01:20:34.987+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-26T01:20:35.272+05:30  INFO 87748 --- [digital-memory-engine] [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [jdbc:postgresql://aws-1-ap-south-1.pooler.supabase.com:5432/postgres?sslmode=require]
2026-01-26T01:20:39.028+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.k.c.c.i.ClassicKafkaConsumer         : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Subscribed to topic(s): memory-events
2026-01-26T01:20:39.035+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.config.AbstractConfig   : ConsumerConfig values: 
	allow.auto.create.topics = true
	auto.commit.interval.ms = 5000
	auto.offset.reset = latest
	bootstrap.servers = [pkc-l7pr2.ap-south-1.aws.confluent.cloud:9092]
	check.crcs = true
	client.dns.lookup = use_all_dns_ips
	client.id = consumer-audit-service-group-2
	client.rack = 
	connections.max.idle.ms = 540000
	default.api.timeout.ms = 60000
	enable.auto.commit = false
	enable.metrics.push = true
	exclude.internal.topics = true
	fetch.max.bytes = 52428800
	fetch.max.wait.ms = 500
	fetch.min.bytes = 1
	group.id = audit-service-group
	group.instance.id = null
	group.protocol = classic
	group.remote.assignor = null
	heartbeat.interval.ms = 3000
	interceptor.classes = []
	internal.leave.group.on.close = true
	internal.throw.on.fetch.stable.offset.unsupported = false
	isolation.level = read_uncommitted
	key.deserializer = class org.springframework.kafka.support.serializer.ErrorHandlingDeserializer
	max.partition.fetch.bytes = 1048576
	max.poll.interval.ms = 300000
	max.poll.records = 500
	metadata.max.age.ms = 300000
	metadata.recovery.rebootstrap.trigger.ms = 300000
	metadata.recovery.strategy = rebootstrap
	metric.reporters = [org.apache.kafka.common.metrics.JmxReporter]
	metrics.num.samples = 2
	metrics.recording.level = INFO
	metrics.sample.window.ms = 30000
	partition.assignment.strategy = [class org.apache.kafka.clients.consumer.RangeAssignor, class org.apache.kafka.clients.consumer.CooperativeStickyAssignor]
	receive.buffer.bytes = 65536
	reconnect.backoff.max.ms = 1000
	reconnect.backoff.ms = 50
	request.timeout.ms = 30000
	retry.backoff.max.ms = 1000
	retry.backoff.ms = 100
	sasl.client.callback.handler.class = null
	sasl.jaas.config = [hidden]
	sasl.kerberos.kinit.cmd = /usr/bin/kinit
	sasl.kerberos.min.time.before.relogin = 60000
	sasl.kerberos.service.name = null
	sasl.kerberos.ticket.renew.jitter = 0.05
	sasl.kerberos.ticket.renew.window.factor = 0.8
	sasl.login.callback.handler.class = null
	sasl.login.class = null
	sasl.login.connect.timeout.ms = null
	sasl.login.read.timeout.ms = null
	sasl.login.refresh.buffer.seconds = 300
	sasl.login.refresh.min.period.seconds = 60
	sasl.login.refresh.window.factor = 0.8
	sasl.login.refresh.window.jitter = 0.05
	sasl.login.retry.backoff.max.ms = 10000
	sasl.login.retry.backoff.ms = 100
	sasl.mechanism = PLAIN
	sasl.oauthbearer.assertion.algorithm = RS256
	sasl.oauthbearer.assertion.claim.aud = null
	sasl.oauthbearer.assertion.claim.exp.seconds = 300
	sasl.oauthbearer.assertion.claim.iss = null
	sasl.oauthbearer.assertion.claim.jti.include = false
	sasl.oauthbearer.assertion.claim.nbf.seconds = 60
	sasl.oauthbearer.assertion.claim.sub = null
	sasl.oauthbearer.assertion.file = null
	sasl.oauthbearer.assertion.private.key.file = null
	sasl.oauthbearer.assertion.private.key.passphrase = null
	sasl.oauthbearer.assertion.template.file = null
	sasl.oauthbearer.client.credentials.client.id = null
	sasl.oauthbearer.client.credentials.client.secret = null
	sasl.oauthbearer.clock.skew.seconds = 30
	sasl.oauthbearer.expected.audience = null
	sasl.oauthbearer.expected.issuer = null
	sasl.oauthbearer.header.urlencode = false
	sasl.oauthbearer.jwks.endpoint.refresh.ms = 3600000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.max.ms = 10000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.ms = 100
	sasl.oauthbearer.jwks.endpoint.url = null
	sasl.oauthbearer.jwt.retriever.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtRetriever
	sasl.oauthbearer.jwt.validator.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtValidator
	sasl.oauthbearer.scope = null
	sasl.oauthbearer.scope.claim.name = scope
	sasl.oauthbearer.sub.claim.name = sub
	sasl.oauthbearer.token.endpoint.url = null
	security.protocol = SASL_SSL
	security.providers = null
	send.buffer.bytes = 131072
	session.timeout.ms = 45000
	share.acknowledgement.mode = implicit
	socket.connection.setup.timeout.max.ms = 30000
	socket.connection.setup.timeout.ms = 10000
	ssl.cipher.suites = null
	ssl.enabled.protocols = [TLSv1.2, TLSv1.3]
	ssl.endpoint.identification.algorithm = https
	ssl.engine.factory.class = null
	ssl.key.password = null
	ssl.keymanager.algorithm = SunX509
	ssl.keystore.certificate.chain = null
	ssl.keystore.key = null
	ssl.keystore.location = null
	ssl.keystore.password = null
	ssl.keystore.type = JKS
	ssl.protocol = TLSv1.3
	ssl.provider = null
	ssl.secure.random.implementation = null
	ssl.trustmanager.algorithm = PKIX
	ssl.truststore.certificates = null
	ssl.truststore.location = null
	ssl.truststore.password = null
	ssl.truststore.type = JKS
	value.deserializer = class org.springframework.kafka.support.serializer.ErrorHandlingDeserializer

2026-01-26T01:20:39.036+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.k.c.t.i.KafkaMetricsCollector        : initializing Kafka metrics collector
2026-01-26T01:20:39.043+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka version: 4.1.1
2026-01-26T01:20:39.043+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka commitId: be816b82d25370ce
2026-01-26T01:20:39.043+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka startTimeMs: 1769370639043
2026-01-26T01:20:39.047+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.k.c.c.i.ClassicKafkaConsumer         : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Subscribed to topic(s): memory-audit
2026-01-26T01:20:39.048+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.config.AbstractConfig   : ConsumerConfig values: 
	allow.auto.create.topics = true
	auto.commit.interval.ms = 5000
	auto.offset.reset = latest
	bootstrap.servers = [pkc-l7pr2.ap-south-1.aws.confluent.cloud:9092]
	check.crcs = true
	client.dns.lookup = use_all_dns_ips
	client.id = consumer-embedding-service-group-3
	client.rack = 
	connections.max.idle.ms = 540000
	default.api.timeout.ms = 60000
	enable.auto.commit = false
	enable.metrics.push = true
	exclude.internal.topics = true
	fetch.max.bytes = 52428800
	fetch.max.wait.ms = 500
	fetch.min.bytes = 1
	group.id = embedding-service-group
	group.instance.id = null
	group.protocol = classic
	group.remote.assignor = null
	heartbeat.interval.ms = 3000
	interceptor.classes = []
	internal.leave.group.on.close = true
	internal.throw.on.fetch.stable.offset.unsupported = false
	isolation.level = read_uncommitted
	key.deserializer = class org.springframework.kafka.support.serializer.ErrorHandlingDeserializer
	max.partition.fetch.bytes = 1048576
	max.poll.interval.ms = 300000
	max.poll.records = 500
	metadata.max.age.ms = 300000
	metadata.recovery.rebootstrap.trigger.ms = 300000
	metadata.recovery.strategy = rebootstrap
	metric.reporters = [org.apache.kafka.common.metrics.JmxReporter]
	metrics.num.samples = 2
	metrics.recording.level = INFO
	metrics.sample.window.ms = 30000
	partition.assignment.strategy = [class org.apache.kafka.clients.consumer.RangeAssignor, class org.apache.kafka.clients.consumer.CooperativeStickyAssignor]
	receive.buffer.bytes = 65536
	reconnect.backoff.max.ms = 1000
	reconnect.backoff.ms = 50
	request.timeout.ms = 30000
	retry.backoff.max.ms = 1000
	retry.backoff.ms = 100
	sasl.client.callback.handler.class = null
	sasl.jaas.config = [hidden]
	sasl.kerberos.kinit.cmd = /usr/bin/kinit
	sasl.kerberos.min.time.before.relogin = 60000
	sasl.kerberos.service.name = null
	sasl.kerberos.ticket.renew.jitter = 0.05
	sasl.kerberos.ticket.renew.window.factor = 0.8
	sasl.login.callback.handler.class = null
	sasl.login.class = null
	sasl.login.connect.timeout.ms = null
	sasl.login.read.timeout.ms = null
	sasl.login.refresh.buffer.seconds = 300
	sasl.login.refresh.min.period.seconds = 60
	sasl.login.refresh.window.factor = 0.8
	sasl.login.refresh.window.jitter = 0.05
	sasl.login.retry.backoff.max.ms = 10000
	sasl.login.retry.backoff.ms = 100
	sasl.mechanism = PLAIN
	sasl.oauthbearer.assertion.algorithm = RS256
	sasl.oauthbearer.assertion.claim.aud = null
	sasl.oauthbearer.assertion.claim.exp.seconds = 300
	sasl.oauthbearer.assertion.claim.iss = null
	sasl.oauthbearer.assertion.claim.jti.include = false
	sasl.oauthbearer.assertion.claim.nbf.seconds = 60
	sasl.oauthbearer.assertion.claim.sub = null
	sasl.oauthbearer.assertion.file = null
	sasl.oauthbearer.assertion.private.key.file = null
	sasl.oauthbearer.assertion.private.key.passphrase = null
	sasl.oauthbearer.assertion.template.file = null
	sasl.oauthbearer.client.credentials.client.id = null
	sasl.oauthbearer.client.credentials.client.secret = null
	sasl.oauthbearer.clock.skew.seconds = 30
	sasl.oauthbearer.expected.audience = null
	sasl.oauthbearer.expected.issuer = null
	sasl.oauthbearer.header.urlencode = false
	sasl.oauthbearer.jwks.endpoint.refresh.ms = 3600000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.max.ms = 10000
	sasl.oauthbearer.jwks.endpoint.retry.backoff.ms = 100
	sasl.oauthbearer.jwks.endpoint.url = null
	sasl.oauthbearer.jwt.retriever.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtRetriever
	sasl.oauthbearer.jwt.validator.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtValidator
	sasl.oauthbearer.scope = null
	sasl.oauthbearer.scope.claim.name = scope
	sasl.oauthbearer.sub.claim.name = sub
	sasl.oauthbearer.token.endpoint.url = null
	security.protocol = SASL_SSL
	security.providers = null
	send.buffer.bytes = 131072
	session.timeout.ms = 45000
	share.acknowledgement.mode = implicit
	socket.connection.setup.timeout.max.ms = 30000
	socket.connection.setup.timeout.ms = 10000
	ssl.cipher.suites = null
	ssl.enabled.protocols = [TLSv1.2, TLSv1.3]
	ssl.endpoint.identification.algorithm = https
	ssl.engine.factory.class = null
	ssl.key.password = null
	ssl.keymanager.algorithm = SunX509
	ssl.keystore.certificate.chain = null
	ssl.keystore.key = null
	ssl.keystore.location = null
	ssl.keystore.password = null
	ssl.keystore.type = JKS
	ssl.protocol = TLSv1.3
	ssl.provider = null
	ssl.secure.random.implementation = null
	ssl.trustmanager.algorithm = PKIX
	ssl.truststore.certificates = null
	ssl.truststore.location = null
	ssl.truststore.password = null
	ssl.truststore.type = JKS
	value.deserializer = class org.springframework.kafka.support.serializer.ErrorHandlingDeserializer

2026-01-26T01:20:39.049+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.k.c.t.i.KafkaMetricsCollector        : initializing Kafka metrics collector
2026-01-26T01:20:39.054+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka version: 4.1.1
2026-01-26T01:20:39.054+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka commitId: be816b82d25370ce
2026-01-26T01:20:39.054+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.kafka.common.utils.AppInfoParser     : Kafka startTimeMs: 1769370639054
2026-01-26T01:20:39.057+05:30  INFO 87748 --- [digital-memory-engine] [           main] o.a.k.c.c.i.ClassicKafkaConsumer         : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Subscribed to topic(s): memory-events
2026-01-26T01:20:39.068+05:30  INFO 87748 --- [digital-memory-engine] [           main] c.m.c.e.DigitalMemoryEngineApplication   : Started DigitalMemoryEngineApplication in 8.96 seconds (process running for 9.254)
2026-01-26T01:20:39.820+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] org.apache.kafka.clients.Metadata        : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Cluster ID: lkc-6pg63j
2026-01-26T01:20:39.820+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] org.apache.kafka.clients.Metadata        : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Cluster ID: lkc-6pg63j
2026-01-26T01:20:39.820+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] org.apache.kafka.clients.Metadata        : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Cluster ID: lkc-6pg63j
2026-01-26T01:20:39.823+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Discovered group coordinator b0-pkc-l7pr2.ap-south-1.aws.confluent.cloud:9092 (id: 2147483647 rack: null isFenced: false)
2026-01-26T01:20:39.823+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Discovered group coordinator b1-pkc-l7pr2.ap-south-1.aws.confluent.cloud:9092 (id: 2147483646 rack: null isFenced: false)
2026-01-26T01:20:39.823+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Discovered group coordinator b10-pkc-l7pr2.ap-south-1.aws.confluent.cloud:9092 (id: 2147483637 rack: null isFenced: false)
2026-01-26T01:20:39.876+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] (Re-)joining group
2026-01-26T01:20:39.876+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] (Re-)joining group
2026-01-26T01:20:39.876+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] (Re-)joining group
2026-01-26T01:20:39.881+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.t.i.ClientTelemetryReporter      : Client telemetry registered with client instance id: Em-9AanaR02X9DuhBLsPYQ
2026-01-26T01:20:39.881+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.t.i.ClientTelemetryReporter      : Client telemetry registered with client instance id: 8z-tySSZTPCAl-uncWyDHQ
2026-01-26T01:20:39.881+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.t.i.ClientTelemetryReporter      : Client telemetry registered with client instance id: idCWneSqQxa3ZvvXT387kQ
2026-01-26T01:20:40.364+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Request joining group due to: need to re-join with the given member-id: consumer-embedding-service-group-3-c128c718-3757-4ba5-ab64-c0643297d035
2026-01-26T01:20:40.364+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] (Re-)joining group
2026-01-26T01:20:40.408+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Successfully joined group with generation Generation{generationId=55, memberId='consumer-embedding-service-group-3-c128c718-3757-4ba5-ab64-c0643297d035', protocol='range'}
2026-01-26T01:20:40.413+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Finished assignment for group at generation 55: {consumer-embedding-service-group-3-c128c718-3757-4ba5-ab64-c0643297d035=Assignment(partitions=[memory-events-0, memory-events-1, memory-events-2])}
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Request joining group due to: need to re-join with the given member-id: consumer-memory-engine-group-1-06161c78-52e4-46b6-8590-0caace4a88fd
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Request joining group due to: need to re-join with the given member-id: consumer-audit-service-group-2-889eab64-86cb-489b-94b2-4243e76e6c5e
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Successfully synced group in generation Generation{generationId=55, memberId='consumer-embedding-service-group-3-c128c718-3757-4ba5-ab64-c0643297d035', protocol='range'}
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] (Re-)joining group
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] (Re-)joining group
2026-01-26T01:20:40.450+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Notifying assignor about the new Assignment(partitions=[memory-events-0, memory-events-1, memory-events-2])
2026-01-26T01:20:40.452+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#1-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-embedding-service-group-3, groupId=embedding-service-group] Adding newly assigned partitions: [memory-events-0, memory-events-1, memory-events-2]
2026-01-26T01:20:40.522+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Successfully joined group with generation Generation{generationId=55, memberId='consumer-audit-service-group-2-889eab64-86cb-489b-94b2-4243e76e6c5e', protocol='range'}
2026-01-26T01:20:40.522+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Successfully joined group with generation Generation{generationId=55, memberId='consumer-memory-engine-group-1-06161c78-52e4-46b6-8590-0caace4a88fd', protocol='range'}
2026-01-26T01:20:40.522+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#2-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-memory-engine-group-1, groupId=memory-engine-group] Finished assignment for group at generation 55: {consumer-memory-engine-group-1-06161c78-52e4-46b6-8590-0caace4a88fd=Assignment(partitions=[memory-events-0, memory-events-1, memory-events-2])}
2026-01-26T01:20:40.522+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Finished assignment for group at generation 55: {consumer-audit-service-group-2-889eab64-86cb-489b-94b2-4243e76e6c5e=Assignment(partitions=[memory-audit-0, memory-audit-1, memory-audit-2])}
2026-01-26T01:20:40.591+05:30  INFO 87748 --- [digital-memory-engine] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-audit-service-group-2, groupId=audit-service-group] Successfully synced group in generation Generation{generationId=55, memberId='consumer-audit-service-group-2-889eab64-86cb-489b-94b2-4243e76e6c5e', protocol='range'}
